step,robot_id,lockstep,wait_ms,command_latency_steps,stale_command_ticks,current_step_index,last_command_step_index,pos_x,pos_y,pos_z
1,bot0,1,100.096000,1,1,1,0,-0.608034,3.179920,0.000000
1,bot1,1,100.075000,1,1,1,0,0.157661,3.441710,0.000000
1,bot2,1,1.211000,0,0,1,1,0.478591,3.998680,0.000000
2,bot0,1,0.257000,0,0,2,2,-0.608034,3.179920,0.000000
2,bot1,1,0.311000,0,0,2,2,0.157661,3.441710,0.000000
2,bot2,1,0.228000,0,0,2,2,0.478591,3.998680,0.000000
3,bot0,1,0.226000,0,0,3,3,-0.608034,3.179920,0.000000
3,bot1,1,0.141000,0,0,3,3,0.162873,3.447878,0.000000
3,bot2,1,0.280000,0,0,3,3,0.478591,3.998680,0.000000
4,bot0,1,0.629000,0,0,4,4,-0.608034,3.179920,0.000000
4,bot1,1,0.161000,0,0,4,4,0.168918,3.455753,0.000000
4,bot2,1,0.479000,0,0,4,4,0.478591,3.998680,0.000000
5,bot0,1,0.322000,0,0,5,5,-0.608034,3.179920,0.000000
5,bot1,1,0.462000,0,0,5,5,0.174501,3.463959,0.000000
5,bot2,1,0.318000,0,0,5,5,0.478591,3.998680,0.000000
6,bot0,1,0.495000,0,0,6,6,-0.608034,3.179920,0.000000
6,bot1,1,0.357000,0,0,6,6,0.179625,3.472451,0.000000
6,bot2,1,0.330000,0,0,6,6,0.478591,3.998680,0.000000
7,bot0,1,0.537000,0,0,7,7,-0.608034,3.179920,0.000000
7,bot1,1,0.411000,0,0,7,7,0.184348,3.481173,0.000000
7,bot2,1,0.445000,0,0,7,7,0.478591,3.998680,0.000000
8,bot0,1,0.437000,0,0,8,8,-0.608034,3.179920,0.000000
8,bot1,1,0.369000,0,0,8,8,0.188671,3.490096,0.000000
8,bot2,1,0.360000,0,0,8,8,0.478591,3.998680,0.000000
9,bot0,1,0.489000,0,0,9,9,-0.608034,3.179920,0.000000
9,bot1,1,0.452000,0,0,9,9,0.192642,3.499180,0.000000
9,bot2,1,0.569000,0,0,9,9,0.478591,3.998680,0.000000
10,bot0,1,0.322000,0,0,10,10,-0.608034,3.179920,0.000000
10,bot1,1,0.224000,0,0,10,10,0.196264,3.508407,0.000000
10,bot2,1,0.601000,0,0,10,10,0.478591,3.998680,0.000000
11,bot0,1,0.284000,0,0,11,11,-0.608034,3.179920,0.000000
11,bot1,1,0.223000,0,0,11,11,0.199579,3.517746,0.000000
11,bot2,1,0.430000,0,0,11,11,0.478591,3.998680,0.000000
12,bot0,1,0.197000,0,0,12,12,-0.608034,3.179920,0.000000
12,bot1,1,0.101000,0,0,12,12,0.202615,3.527179,0.000000
12,bot2,1,0.146000,0,0,12,12,0.478591,3.998680,0.000000
13,bot0,1,0.344000,0,0,13,13,-0.608034,3.179920,0.000000
13,bot1,1,0.604000,0,0,13,13,0.205389,3.536692,0.000000
13,bot2,1,0.480000,0,0,13,13,0.478591,3.998680,0.000000
14,bot0,1,0.318000,0,0,14,14,-0.608034,3.179920,0.000000
14,bot1,1,0.433000,0,0,14,14,0.207922,3.546270,0.000000
14,bot2,1,0.620000,0,0,14,14,0.478591,3.998680,0.000000
15,bot0,1,0.109000,0,0,15,15,-0.608034,3.179920,0.000000
15,bot1,1,0.541000,0,0,15,15,0.210231,3.555905,0.000000
15,bot2,1,0.256000,0,0,15,15,0.478591,3.998680,0.000000
16,bot0,1,0.300000,0,0,16,16,-0.608034,3.179920,0.000000
16,bot1,1,0.762000,0,0,16,16,0.212332,3.565587,0.000000
16,bot2,1,0.314000,0,0,16,16,0.478591,3.998680,0.000000
17,bot0,1,0.526000,0,0,17,17,-0.608034,3.179920,0.000000
17,bot1,1,0.673000,0,0,17,17,0.214242,3.575307,0.000000
17,bot2,1,0.379000,0,0,17,17,0.470998,4.001491,0.000000
18,bot0,1,0.226000,0,0,18,18,-0.608034,3.179920,0.000000
18,bot1,1,0.575000,0,0,18,18,0.215974,3.585061,0.000000
18,bot2,1,0.491000,0,0,18,18,0.461989,4.005726,0.000000
19,bot0,1,0.290000,0,0,19,19,-0.600632,3.183212,0.000000
19,bot1,1,0.371000,0,0,19,19,0.217542,3.594842,0.000000
19,bot2,1,0.372000,0,0,19,19,0.453413,4.010757,0.000000
20,bot0,1,0.197000,0,0,20,20,-0.591932,3.188042,0.000000
20,bot1,1,0.234000,0,0,20,20,0.218948,3.604647,0.000000
20,bot2,1,0.177000,0,0,20,20,0.445266,4.016444,0.000000
21,bot0,1,0.464000,0,0,21,21,-0.583690,3.193605,0.000000
21,bot1,1,0.594000,0,0,21,21,0.220212,3.614472,0.000000
21,bot2,1,0.559000,0,0,21,21,0.437545,4.022698,0.000000
22,bot0,1,0.345000,0,0,22,22,-0.575920,3.199793,0.000000
22,bot1,1,0.546000,0,0,22,22,0.221340,3.624313,0.000000
22,bot2,1,0.522000,0,0,22,22,0.430286,4.029471,0.000000
23,bot0,1,0.163000,0,0,23,23,-0.568580,3.206485,0.000000
23,bot1,1,0.423000,0,0,23,23,0.222442,3.634156,0.000000
23,bot2,1,0.370000,0,0,23,23,0.423458,4.036672,0.000000
24,bot0,1,0.475000,0,0,24,24,-0.561688,3.213632,0.000000
24,bot1,1,0.663000,0,0,24,24,0.223542,3.644000,0.000000
24,bot2,1,0.592000,0,0,24,24,0.417039,4.044236,0.000000
25,bot0,1,0.475000,0,0,25,25,-0.555240,3.221176,0.000000
25,bot1,1,0.596000,0,0,25,25,0.224642,3.653844,0.000000
25,bot2,1,0.549000,0,0,25,25,0.411014,4.052115,0.000000
26,bot0,1,0.220000,0,0,26,26,-0.549219,3.229059,0.000000
26,bot1,1,0.354000,0,0,26,26,0.225742,3.663688,0.000000
26,bot2,1,0.445000,0,0,26,26,0.405366,4.060266,0.000000
27,bot0,1,0.345000,0,0,27,27,-0.543574,3.237214,0.000000
27,bot1,1,0.366000,0,0,27,27,0.226843,3.673532,0.000000
27,bot2,1,0.707000,0,0,27,27,0.400076,4.068651,0.000000
28,bot0,1,0.384000,0,0,28,28,-0.538304,3.245614,0.000000
28,bot1,1,0.640000,0,0,28,28,0.227943,3.683376,0.000000
28,bot2,1,0.466000,0,0,28,28,0.395124,4.077238,0.000000
29,bot0,1,0.513000,0,0,29,29,-0.533393,3.254227,0.000000
29,bot1,1,0.639000,0,0,29,29,0.229043,3.693220,0.000000
29,bot2,1,0.248000,0,0,29,29,0.390489,4.086000,0.000000
30,bot0,1,0.090000,0,0,30,30,-0.528818,3.263021,0.000000
30,bot1,1,0.315000,0,0,30,30,0.230143,3.703064,0.000000
30,bot2,1,0.499000,0,0,30,30,0.386153,4.094911,0.000000
31,bot0,1,0.249000,0,0,31,31,-0.524557,3.271970,0.000000
31,bot1,1,0.424000,0,0,31,31,0.231244,3.712908,0.000000
31,bot2,1,0.251000,0,0,31,31,0.382097,4.103952,0.000000
32,bot0,1,0.286000,0,0,32,32,-0.520587,3.281051,0.000000
32,bot1,1,0.665000,0,0,32,32,0.232344,3.722752,0.000000
32,bot2,1,0.521000,0,0,32,32,0.378301,4.113105,0.000000
33,bot0,1,0.148000,0,0,33,33,-0.516886,3.290243,0.000000
33,bot1,1,0.540000,0,0,33,33,0.233444,3.732595,0.000000
33,bot2,1,0.158000,0,0,33,33,0.374747,4.122353,0.000000
34,bot0,1,0.260000,0,0,34,34,-0.513434,3.299530,0.000000
34,bot1,1,0.183000,0,0,34,34,0.234544,3.742439,0.000000
34,bot2,1,0.198000,0,0,34,34,0.371419,4.131686,0.000000
35,bot0,1,0.149000,0,0,35,35,-0.510211,3.308899,0.000000
35,bot1,1,0.116000,0,0,35,35,0.235645,3.752283,0.000000
35,bot2,1,0.189000,0,0,35,35,0.368316,4.141094,0.000000
36,bot0,1,0.398000,0,0,36,36,-0.507184,3.318332,0.000000
36,bot1,1,0.057000,0,0,36,36,0.236745,3.762127,0.000000
36,bot2,1,0.104000,0,0,36,36,0.365424,4.150569,0.000000
37,bot0,1,0.194000,0,0,37,37,-0.504349,3.327824,0.000000
37,bot1,1,0.125000,0,0,37,37,0.237845,3.771971,0.000000
37,bot2,1,0.347000,0,0,37,37,0.362713,4.160097,0.000000
38,bot0,1,0.276000,0,0,38,38,-0.501680,3.337364,0.000000
38,bot1,1,0.150000,0,0,38,38,0.238945,3.781815,0.000000
38,bot2,1,0.203000,0,0,38,38,0.360178,4.169673,0.000000
39,bot0,1,0.359000,0,0,39,39,-0.499173,3.346947,0.000000
39,bot1,1,0.327000,0,0,39,39,0.240046,3.791659,0.000000
39,bot2,1,0.189000,0,0,39,39,0.357809,4.179291,0.000000
40,bot0,1,0.149000,0,0,40,40,-0.496818,3.356569,0.000000
40,bot1,1,0.258000,0,0,40,40,0.241146,3.801503,0.000000
40,bot2,1,0.306000,0,0,40,40,0.355582,4.188942,0.000000
41,bot0,1,0.293000,0,0,41,41,-0.494492,3.366197,0.000000
41,bot1,1,0.163000,0,0,41,41,0.242246,3.811347,0.000000
41,bot2,1,0.220000,0,0,41,41,0.353381,4.198600,0.000000
42,bot0,1,0.217000,0,0,42,42,-0.492168,3.375826,0.000000
42,bot1,1,0.364000,0,0,42,42,0.243346,3.821191,0.000000
42,bot2,1,0.174000,0,0,42,42,0.351181,4.208258,0.000000
43,bot0,1,0.206000,0,0,43,43,-0.489843,3.385455,0.000000
43,bot1,1,0.233000,0,0,43,43,0.244447,3.831035,0.000000
43,bot2,1,0.160000,0,0,43,43,0.348981,4.217916,0.000000
44,bot0,1,0.528000,0,0,44,44,-0.487519,3.395084,0.000000
44,bot1,1,0.280000,0,0,44,44,0.245547,3.840879,0.000000
44,bot2,1,0.505000,0,0,44,44,0.346781,4.227573,0.000000
45,bot0,1,0.657000,0,0,45,45,-0.485194,3.404713,0.000000
45,bot1,1,0.378000,0,0,45,45,0.246647,3.850723,0.000000
45,bot2,1,0.335000,0,0,45,45,0.344582,4.237231,0.000000
46,bot0,1,0.819000,0,0,46,46,-0.482870,3.414342,0.000000
46,bot1,1,0.624000,0,0,46,46,0.247747,3.860567,0.000000
46,bot2,1,0.655000,0,0,46,46,0.342382,4.246889,0.000000
47,bot0,1,0.218000,0,0,47,47,-0.480545,3.423970,0.000000
47,bot1,1,0.304000,0,0,47,47,0.248848,3.870411,0.000000
47,bot2,1,0.288000,0,0,47,47,0.340182,4.256547,0.000000
48,bot0,1,0.349000,0,0,48,48,-0.478221,3.433599,0.000000
48,bot1,1,0.443000,0,0,48,48,0.249948,3.880255,0.000000
48,bot2,1,0.202000,0,0,48,48,0.337982,4.266205,0.000000
49,bot0,1,0.522000,0,0,49,49,-0.475896,3.443228,0.000000
49,bot1,1,0.565000,0,0,49,49,0.251048,3.890099,0.000000
49,bot2,1,0.384000,0,0,49,49,0.335782,4.275863,0.000000
50,bot0,1,0.270000,0,0,50,50,-0.473572,3.452857,0.000000
50,bot1,1,0.174000,0,0,50,50,0.252148,3.899943,0.000000
50,bot2,1,0.197000,0,0,50,50,0.333583,4.285520,0.000000
51,bot0,1,0.360000,0,0,51,51,-0.471247,3.462486,0.000000
51,bot1,1,0.242000,0,0,51,51,0.253248,3.909787,0.000000
51,bot2,1,0.151000,0,0,51,51,0.331383,4.295178,0.000000
52,bot0,1,0.469000,0,0,52,52,-0.468923,3.472115,0.000000
52,bot1,1,0.279000,0,0,52,52,0.254349,3.919631,0.000000
52,bot2,1,0.324000,0,0,52,52,0.329183,4.304836,0.000000
53,bot0,1,0.386000,0,0,53,53,-0.466598,3.481744,0.000000
53,bot1,1,0.140000,0,0,53,53,0.255449,3.929474,0.000000
53,bot2,1,0.166000,0,0,53,53,0.326983,4.314494,0.000000
54,bot0,1,0.536000,0,0,54,54,-0.464274,3.491373,0.000000
54,bot1,1,0.127000,0,0,54,54,0.256549,3.939318,0.000000
54,bot2,1,0.413000,0,0,54,54,0.324784,4.324152,0.000000
55,bot0,1,0.293000,0,0,55,55,-0.461949,3.501001,0.000000
55,bot1,1,0.115000,0,0,55,55,0.257649,3.949162,0.000000
55,bot2,1,0.187000,0,0,55,55,0.322584,4.333810,0.000000
56,bot0,1,0.297000,0,0,56,56,-0.459625,3.510630,0.000000
56,bot1,1,0.236000,0,0,56,56,0.258750,3.959006,0.000000
56,bot2,1,0.352000,0,0,56,56,0.320384,4.343468,0.000000
57,bot0,1,0.546000,0,0,57,57,-0.457300,3.520259,0.000000
57,bot1,1,0.371000,0,0,57,57,0.259850,3.968850,0.000000
57,bot2,1,0.346000,0,0,57,57,0.318184,4.353126,0.000000
58,bot0,1,0.356000,0,0,58,58,-0.454976,3.529888,0.000000
58,bot1,1,0.443000,0,0,58,58,0.260950,3.978694,0.000000
58,bot2,1,0.278000,0,0,58,58,0.315984,4.362783,0.000000
59,bot0,1,0.436000,0,0,59,59,-0.452651,3.539517,0.000000
59,bot1,1,0.412000,0,0,59,59,0.262050,3.988538,0.000000
59,bot2,1,0.562000,0,0,59,59,0.313785,4.372441,0.000000
60,bot0,1,0.269000,0,0,60,60,-0.450327,3.549146,0.000000
60,bot1,1,0.624000,0,0,60,60,0.263151,3.998383,0.000000
60,bot2,1,0.366000,0,0,60,60,0.311585,4.382099,0.000000
61,bot0,1,0.463000,0,0,61,61,-0.448002,3.558775,0.000000
61,bot1,1,0.723000,0,0,61,61,0.264251,4.008227,0.000000
61,bot2,1,0.378000,0,0,61,61,0.309385,4.391757,0.000000
62,bot0,1,0.401000,0,0,62,62,-0.445678,3.568404,0.000000
62,bot1,1,0.278000,0,0,62,62,0.265351,4.018071,0.000000
62,bot2,1,0.142000,0,0,62,62,0.307185,4.401415,0.000000
63,bot0,1,0.569000,0,0,63,63,-0.443353,3.578033,0.000000
63,bot1,1,0.534000,0,0,63,63,0.266452,4.027915,0.000000
63,bot2,1,0.311000,0,0,63,63,0.304985,4.411073,0.000000
64,bot0,1,0.589000,0,0,64,64,-0.441029,3.587662,0.000000
64,bot1,1,0.579000,0,0,64,64,0.267552,4.037759,0.000000
64,bot2,1,0.563000,0,0,64,64,0.302786,4.420731,0.000000
65,bot0,1,0.337000,0,0,65,65,-0.438704,3.597290,0.000000
65,bot1,1,0.387000,0,0,65,65,0.268652,4.047603,0.000000
65,bot2,1,0.390000,0,0,65,65,0.300586,4.430389,0.000000
66,bot0,1,0.375000,0,0,66,66,-0.436380,3.606919,0.000000
66,bot1,1,0.266000,0,0,66,66,0.269752,4.057447,0.000000
66,bot2,1,0.276000,0,0,66,66,0.298386,4.440047,0.000000
67,bot0,1,0.642000,0,0,67,67,-0.434055,3.616548,0.000000
67,bot1,1,0.547000,0,0,67,67,0.270853,4.067291,0.000000
67,bot2,1,0.573000,0,0,67,67,0.296186,4.449705,0.000000
68,bot0,1,0.426000,0,0,68,68,-0.431731,3.626177,0.000000
68,bot1,1,0.608000,0,0,68,68,0.271953,4.077135,0.000000
68,bot2,1,0.528000,0,0,68,68,0.293986,4.459362,0.000000
69,bot0,1,0.373000,0,0,69,69,-0.429406,3.635806,0.000000
69,bot1,1,0.207000,0,0,69,69,0.273053,4.086979,0.000000
69,bot2,1,0.656000,0,0,69,69,0.291787,4.469020,0.000000
70,bot0,1,0.304000,0,0,70,70,-0.427082,3.645435,0.000000
70,bot1,1,0.133000,0,0,70,70,0.274153,4.096823,0.000000
70,bot2,1,0.096000,0,0,70,70,0.289587,4.478678,0.000000
71,bot0,1,0.291000,0,0,71,71,-0.424757,3.655064,0.000000
71,bot1,1,0.459000,0,0,71,71,0.275254,4.106667,0.000000
71,bot2,1,0.293000,0,0,71,71,0.287387,4.488336,0.000000
72,bot0,1,0.203000,0,0,72,72,-0.422433,3.664693,0.000000
72,bot1,1,0.381000,0,0,72,72,0.276354,4.116511,0.000000
72,bot2,1,0.218000,0,0,72,72,0.285187,4.497994,0.000000
73,bot0,1,0.217000,0,0,73,73,-0.420108,3.674322,0.000000
73,bot1,1,0.286000,0,0,73,73,0.277454,4.126355,0.000000
73,bot2,1,0.310000,0,0,73,73,0.282987,4.507652,0.000000
74,bot0,1,0.298000,0,0,74,74,-0.417784,3.683951,0.000000
74,bot1,1,0.137000,0,0,74,74,0.278554,4.136199,0.000000
74,bot2,1,0.196000,0,0,74,74,0.280788,4.517310,0.000000
75,bot0,1,0.372000,0,0,75,75,-0.415459,3.693580,0.000000
75,bot1,1,0.553000,0,0,75,75,0.279655,4.146043,0.000000
75,bot2,1,0.539000,0,0,75,75,0.278588,4.526968,0.000000
76,bot0,1,0.392000,0,0,76,76,-0.413135,3.703209,0.000000
76,bot1,1,0.482000,0,0,76,76,0.280755,4.155887,0.000000
76,bot2,1,0.674000,0,0,76,76,0.276388,4.536626,0.000000
77,bot0,1,0.591000,0,0,77,77,-0.410810,3.712838,0.000000
77,bot1,1,0.586000,0,0,77,77,0.281855,4.165731,0.000000
77,bot2,1,0.504000,0,0,77,77,0.274296,4.546308,0.000000
78,bot0,1,0.473000,0,0,78,78,-0.408486,3.722467,0.000000
78,bot1,1,0.501000,0,0,78,78,0.282955,4.175576,0.000000
78,bot2,1,0.462000,0,0,78,78,0.272228,4.555995,0.000000
79,bot0,1,0.387000,0,0,79,79,-0.406161,3.732096,0.000000
79,bot1,1,0.676000,0,0,79,79,0.284056,4.185420,0.000000
79,bot2,1,0.486000,0,0,79,79,0.270162,4.565682,0.000000
80,bot0,1,0.480000,0,0,80,80,-0.403836,3.741725,0.000000
80,bot1,1,0.354000,0,0,80,80,0.285156,4.195264,0.000000
80,bot2,1,0.348000,0,0,80,80,0.268095,4.575369,0.000000
81,bot0,1,0.621000,0,0,81,81,-0.401512,3.751354,0.000000
81,bot1,1,0.462000,0,0,81,81,0.286256,4.205108,0.000000
81,bot2,1,0.316000,0,0,81,81,0.266028,4.585056,0.000000
82,bot0,1,0.096000,0,0,82,82,-0.399187,3.760983,0.000000
82,bot1,1,0.215000,0,0,82,82,0.287356,4.214952,0.000000
82,bot2,1,0.242000,0,0,82,82,0.263962,4.594743,0.000000
83,bot0,1,0.590000,0,0,83,83,-0.396863,3.770612,0.000000
83,bot1,1,0.509000,0,0,83,83,0.288457,4.224796,0.000000
83,bot2,1,0.453000,0,0,83,83,0.261895,4.604430,0.000000
84,bot0,1,0.359000,0,0,84,84,-0.394538,3.780241,0.000000
84,bot1,1,0.409000,0,0,84,84,0.289557,4.234640,0.000000
84,bot2,1,0.275000,0,0,84,84,0.259829,4.614118,0.000000
85,bot0,1,0.549000,0,0,85,85,-0.392321,3.789895,0.000000
85,bot1,1,0.453000,0,0,85,85,0.290657,4.244484,0.000000
85,bot2,1,0.339000,0,0,85,85,0.257762,4.623805,0.000000
86,bot0,1,0.222000,0,0,86,86,-0.390237,3.799579,0.000000
86,bot1,1,0.338000,0,0,86,86,0.291757,4.254328,0.000000
86,bot2,1,0.339000,0,0,86,86,0.255696,4.633492,0.000000
87,bot0,1,0.256000,0,0,87,87,-0.388177,3.809267,0.000000
87,bot1,1,0.274000,0,0,87,87,0.292858,4.264173,0.000000
87,bot2,1,0.295000,0,0,87,87,0.253629,4.643179,0.000000
88,bot0,1,0.355000,0,0,88,88,-0.386119,3.818956,0.000000
88,bot1,1,0.521000,0,0,88,88,0.293958,4.274017,0.000000
88,bot2,1,0.399000,0,0,88,88,0.251562,4.652866,0.000000
89,bot0,1,0.656000,0,0,89,89,-0.384061,3.828645,0.000000
89,bot1,1,0.550000,0,0,89,89,0.295058,4.283861,0.000000
89,bot2,1,0.540000,0,0,89,89,0.249496,4.662553,0.000000
90,bot0,1,0.463000,0,0,90,90,-0.382003,3.838334,0.000000
90,bot1,1,0.586000,0,0,90,90,0.296159,4.293705,0.000000
90,bot2,1,0.378000,0,0,90,90,0.247429,4.672241,0.000000
91,bot0,1,0.555000,0,0,91,91,-0.379945,3.848023,0.000000
91,bot1,1,0.531000,0,0,91,91,0.297259,4.303549,0.000000
91,bot2,1,0.340000,0,0,91,91,0.245363,4.681928,0.000000
92,bot0,1,0.304000,0,0,92,92,-0.377886,3.857712,0.000000
92,bot1,1,0.266000,0,0,92,92,0.298359,4.313393,0.000000
92,bot2,1,0.285000,0,0,92,92,0.243296,4.691615,0.000000
93,bot0,1,0.439000,0,0,93,93,-0.375828,3.867401,0.000000
93,bot1,1,0.493000,0,0,93,93,0.299459,4.323237,0.000000
93,bot2,1,0.360000,0,0,93,93,0.241229,4.701302,0.000000
94,bot0,1,0.111000,0,0,94,94,-0.373770,3.877090,0.000000
94,bot1,1,0.300000,0,0,94,94,0.300560,4.333082,0.000000
94,bot2,1,0.268000,0,0,94,94,0.239163,4.710989,0.000000
95,bot0,1,0.484000,0,0,95,95,-0.371712,3.886779,0.000000
95,bot1,1,0.461000,0,0,95,95,0.301660,4.342926,0.000000
95,bot2,1,0.565000,0,0,95,95,0.237096,4.720677,0.000000
96,bot0,1,0.643000,0,0,96,96,-0.369654,3.896468,0.000000
96,bot1,1,0.653000,0,0,96,96,0.302760,4.352770,0.000000
96,bot2,1,0.595000,0,0,96,96,0.235030,4.730364,0.000000
97,bot0,1,0.461000,0,0,97,97,-0.367596,3.906158,0.000000
97,bot1,1,0.323000,0,0,97,97,0.303860,4.362614,0.000000
97,bot2,1,0.266000,0,0,97,97,0.232963,4.740051,0.000000
98,bot0,1,0.382000,0,0,98,98,-0.365538,3.915847,0.000000
98,bot1,1,0.517000,0,0,98,98,0.304961,4.372458,0.000000
98,bot2,1,0.265000,0,0,98,98,0.230896,4.749738,0.000000
99,bot0,1,0.325000,0,0,99,99,-0.363479,3.925536,0.000000
99,bot1,1,0.260000,0,0,99,99,0.306061,4.382302,0.000000
99,bot2,1,0.328000,0,0,99,99,0.228830,4.759426,0.000000
100,bot0,1,0.308000,0,0,100,100,-0.361421,3.935225,0.000000
100,bot1,1,0.342000,0,0,100,100,0.307161,4.392147,0.000000
100,bot2,1,0.353000,0,0,100,100,0.226763,4.769113,0.000000
101,bot0,1,0.464000,0,0,101,101,-0.359363,3.944914,0.000000
101,bot1,1,0.654000,0,0,101,101,0.308261,4.401991,0.000000
101,bot2,1,0.317000,0,0,101,101,0.224697,4.778800,0.000000
102,bot0,1,0.170000,0,0,102,102,-0.357305,3.954603,0.000000
102,bot1,1,0.283000,0,0,102,102,0.309362,4.411835,0.000000
102,bot2,1,0.108000,0,0,102,102,0.222630,4.788487,0.000000
103,bot0,1,0.250000,0,0,103,103,-0.355247,3.964292,0.000000
103,bot1,1,0.298000,0,0,103,103,0.310462,4.421679,0.000000
103,bot2,1,0.261000,0,0,103,103,0.220563,4.798175,0.000000
104,bot0,1,0.202000,0,0,104,104,-0.353189,3.973981,0.000000
104,bot1,1,0.475000,0,0,104,104,0.311562,4.431523,0.000000
104,bot2,1,0.332000,0,0,104,104,0.218497,4.807862,0.000000
