step,robot_id,lockstep,wait_ms,command_latency_steps,stale_command_ticks,current_step_index,last_command_step_index,pos_x,pos_y,pos_z
1,bot0,1,10.075000,1,1,1,0,-0.608034,3.179920,0.000000
1,bot1,1,10.057000,1,1,1,0,0.157661,3.441710,0.000000
1,bot2,1,10.055000,1,1,1,0,0.478591,3.998680,0.000000
1,bot3,1,10.052000,1,1,1,0,-0.288873,3.050240,0.000000
1,bot4,1,10.058000,1,1,1,0,-0.798197,3.617110,0.000000
1,bot5,1,10.056000,1,1,1,0,-0.079964,3.508120,0.000000
1,bot6,1,10.055000,1,1,1,0,-0.032276,3.665000,0.000000
1,bot7,1,10.056000,1,1,1,0,0.198376,3.876670,0.000000
1,bot8,1,10.056000,1,1,1,0,-0.281865,3.723990,0.000000
1,bot9,1,10.060000,1,1,1,0,0.248889,3.010510,0.000000
2,bot0,1,0.226000,0,0,2,2,-0.608034,3.179920,0.000000
2,bot1,1,0.117000,0,0,2,2,0.157661,3.441710,0.000000
2,bot2,1,0.078000,0,0,2,2,0.478591,3.998680,0.000000
2,bot3,1,0.329000,0,0,2,2,-0.288873,3.050240,0.000000
2,bot4,1,0.096000,0,0,2,2,-0.798197,3.617110,0.000000
2,bot5,1,0.107000,0,0,2,2,-0.079964,3.508120,0.000000
2,bot6,1,0.064000,0,0,2,2,-0.032276,3.665000,0.000000
2,bot7,1,0.082000,0,0,2,2,0.198376,3.876670,0.000000
2,bot8,1,0.085000,0,0,2,2,-0.281865,3.723990,0.000000
2,bot9,1,0.119000,0,0,2,2,0.248889,3.010510,0.000000
3,bot0,1,0.054000,0,0,3,3,-0.608034,3.179920,0.000000
3,bot1,1,0.096000,0,0,3,3,0.162873,3.447878,0.000000
3,bot2,1,0.043000,0,0,3,3,0.478591,3.998680,0.000000
3,bot3,1,0.221000,0,0,3,3,-0.288873,3.050240,0.000000
3,bot4,1,0.043000,0,0,3,3,-0.798197,3.617110,0.000000
3,bot5,1,0.122000,0,0,3,3,-0.079964,3.508120,0.000000
3,bot6,1,0.055000,0,0,3,3,-0.032276,3.665000,0.000000
3,bot7,1,0.050000,0,0,3,3,0.198376,3.876670,0.000000
3,bot8,1,0.039000,0,0,3,3,-0.276263,3.729806,0.000000
3,bot9,1,0.069000,0,0,3,3,0.255712,3.014860,0.000000
4,bot0,1,0.030000,0,0,4,4,-0.608034,3.179920,0.000000
