step,robot_id,lockstep,wait_ms,command_latency_steps,stale_command_ticks,current_step_index,last_command_step_index,pos_x,pos_y,pos_z
1,bot0,1,0.031000,0,0,1,1,-0.608034,3.179920,0.000000
1,bot1,1,0.001000,0,0,1,1,0.157661,3.441710,0.000000
1,bot2,1,0.001000,0,0,1,1,0.478591,3.998680,0.000000
1,bot3,1,0.054000,0,0,1,1,-0.288873,3.050240,0.000000
1,bot4,1,0.001000,0,0,1,1,-0.798197,3.617110,0.000000
1,bot5,1,0.026000,0,0,1,1,-0.079964,3.508120,0.000000
1,bot6,1,0.001000,0,0,1,1,-0.032276,3.665000,0.000000
1,bot7,1,0.001000,0,0,1,1,0.198376,3.876670,0.000000
1,bot8,1,0.001000,0,0,1,1,-0.281865,3.723990,0.000000
1,bot9,1,0.001000,0,0,1,1,0.248889,3.010510,0.000000
2,bot0,1,0.001000,0,0,2,2,-0.608019,3.171861,0.000000
2,bot1,1,0.000000,0,0,2,2,0.162862,3.447866,0.000000
2,bot2,1,0.000000,0,0,2,2,0.478084,3.990638,0.000000
2,bot3,1,0.000000,0,0,2,2,-0.280853,3.049450,0.000000
2,bot4,1,0.000000,0,0,2,2,-0.799701,3.609193,0.000000
2,bot5,1,0.000000,0,0,2,2,-0.087912,3.506793,0.000000
2,bot6,1,0.000000,0,0,2,2,-0.026136,3.659780,0.000000
2,bot7,1,0.000000,0,0,2,2,0.191703,3.872152,0.000000
2,bot8,1,0.001000,0,0,2,2,-0.276274,3.729794,0.000000
2,bot9,1,0.000000,0,0,2,2,0.255684,3.014842,0.000000
3,bot0,1,0.000000,0,0,3,3,-0.608016,3.170015,0.000000
3,bot1,1,0.000000,0,0,3,3,0.169269,3.455448,0.000000
3,bot2,1,0.000000,0,0,3,3,0.477968,3.988795,0.000000
3,bot3,1,0.000000,0,0,3,3,-0.279015,3.049269,0.000000
3,bot4,1,0.000000,0,0,3,3,-0.800046,3.607379,0.000000
3,bot5,1,0.000000,0,0,3,3,-0.089733,3.506489,0.000000
3,bot6,1,0.000000,0,0,3,3,-0.024729,3.658584,0.000000
3,bot7,1,0.000000,0,0,3,3,0.190174,3.871117,0.000000
3,bot8,1,0.000000,0,0,3,3,-0.269387,3.736943,0.000000
3,bot9,1,0.000000,0,0,3,3,0.264072,3.020190,0.000000
4,bot0,1,0.001000,0,0,4,4,-0.608016,3.170015,0.000000
4,bot1,1,0.000000,0,0,4,4,0.175314,3.463323,0.000000
4,bot2,1,0.000000,0,0,4,4,0.477968,3.988795,0.000000
4,bot3,1,0.000000,0,0,4,4,-0.279015,3.049269,0.000000
4,bot4,1,0.000000,0,0,4,4,-0.800046,3.607379,0.000000
4,bot5,1,0.000000,0,0,4,4,-0.089733,3.506489,0.000000
4,bot6,1,0.000000,0,0,4,4,-0.024729,3.658584,0.000000
4,bot7,1,0.000000,0,0,4,4,0.190174,3.871117,0.000000
4,bot8,1,0.000000,0,0,4,4,-0.262841,3.744406,0.000000
4,bot9,1,0.000000,0,0,4,4,0.272084,3.026091,0.000000
5,bot0,1,0.000000,0,0,5,5,-0.608016,3.170015,0.000000
5,bot1,1,0.000000,0,0,5,5,0.180896,3.471529,0.000000
5,bot2,1,0.000000,0,0,5,5,0.477968,3.988795,0.000000
5,bot3,1,0.000000,0,0,5,5,-0.279015,3.049269,0.000000
5,bot4,1,0.000000,0,0,5,5,-0.800046,3.607379,0.000000
5,bot5,1,0.000000,0,0,5,5,-0.089733,3.506489,0.000000
5,bot6,1,0.000000,0,0,5,5,-0.024729,3.658584,0.000000
5,bot7,1,0.001000,0,0,5,5,0.190174,3.871117,0.000000
5,bot8,1,0.001000,0,0,5,5,-0.256732,3.752227,0.000000
5,bot9,1,0.000000,0,0,5,5,0.279580,3.032625,0.000000
6,bot0,1,0.000000,0,0,6,6,-0.608016,3.170015,0.000000
6,bot1,1,0.000000,0,0,6,6,0.186021,3.480024,0.000000
6,bot2,1,0.000000,0,0,6,6,0.477968,3.988795,0.000000
6,bot3,1,0.001000,0,0,6,6,-0.279015,3.049269,0.000000
6,bot4,1,0.001000,0,0,6,6,-0.800046,3.607379,0.000000
6,bot5,1,0.000000,0,0,6,6,-0.089733,3.506489,0.000000
6,bot6,1,0.000000,0,0,6,6,-0.024729,3.658584,0.000000
6,bot7,1,0.000000,0,0,6,6,0.190174,3.871117,0.000000
6,bot8,1,0.000000,0,0,6,6,-0.251058,3.760366,0.000000
6,bot9,1,0.000000,0,0,6,6,0.286538,3.039720,0.000000
7,bot0,1,0.001000,0,0,7,7,-0.608016,3.170015,0.000000
7,bot1,1,0.000000,0,0,7,7,0.190712,3.488764,0.000000
7,bot2,1,0.002000,0,0,7,7,0.477968,3.988795,0.000000
7,bot3,1,0.000000,0,0,7,7,-0.279015,3.049269,0.000000
7,bot4,1,0.001000,0,0,7,7,-0.800046,3.607379,0.000000
7,bot5,1,0.001000,0,0,7,7,-0.089733,3.506489,0.000000
7,bot6,1,0.000000,0,0,7,7,-0.024729,3.658584,0.000000
7,bot7,1,0.001000,0,0,7,7,0.190174,3.871117,0.000000
7,bot8,1,0.000000,0,0,7,7,-0.245799,3.768776,0.000000
7,bot9,1,0.002000,0,0,7,7,0.292965,3.047293,0.000000
8,bot0,1,0.001000,0,0,8,8,-0.608016,3.170015,0.000000
8,bot1,1,0.001000,0,0,8,8,0.194996,3.497707,0.000000
8,bot2,1,0.001000,0,0,8,8,0.477968,3.988795,0.000000
8,bot3,1,0.000000,0,0,8,8,-0.271965,3.053253,0.000000
8,bot4,1,0.000000,0,0,8,8,-0.800046,3.607379,0.000000
8,bot5,1,0.000000,0,0,8,8,-0.089733,3.506489,0.000000
8,bot6,1,0.000000,0,0,8,8,-0.024729,3.658584,0.000000
8,bot7,1,0.001000,0,0,8,8,0.190174,3.871117,0.000000
8,bot8,1,0.000000,0,0,8,8,-0.240931,3.777415,0.000000
8,bot9,1,0.000000,0,0,8,8,0.298879,3.055268,0.000000
9,bot0,1,0.001000,0,0,9,9,-0.608016,3.170015,0.000000
9,bot1,1,0.000000,0,0,9,9,0.198901,3.506820,0.000000
9,bot2,1,0.000000,0,0,9,9,0.477968,3.988795,0.000000
9,bot3,1,0.000000,0,0,9,9,-0.263752,3.058866,0.000000
9,bot4,1,0.001000,0,0,9,9,-0.800046,3.607379,0.000000
9,bot5,1,0.000000,0,0,9,9,-0.096541,3.510873,0.000000
9,bot6,1,0.000000,0,0,9,9,-0.024729,3.658584,0.000000
9,bot7,1,0.001000,0,0,9,9,0.190174,3.871117,0.000000
9,bot8,1,0.001000,0,0,9,9,-0.236428,3.786247,0.000000
9,bot9,1,0.005000,0,0,9,9,0.304303,3.063580,0.000000
10,bot0,1,0.004000,0,0,10,10,-0.608016,3.170015,0.000000
10,bot1,1,0.001000,0,0,10,10,0.202454,3.516074,0.000000
10,bot2,1,0.001000,0,0,10,10,0.477968,3.988795,0.000000
10,bot3,1,0.001000,0,0,10,10,-0.256040,3.065138,0.000000
10,bot4,1,0.000000,0,0,10,10,-0.800046,3.607379,0.000000
10,bot5,1,0.001000,0,0,10,10,-0.104416,3.516947,0.000000
